City,State,Station_Count,Population_Density,EV_Vehicle_Density
Drakesboro,KY,1,2415,147
Draper,UT,49,878,291
Drayton,ON,2,4689,175
Drayton Valley,AB,2,1685,287
Dresden,OH,1,1592,35
Dresden,ON,2,760,82
Dresher,PA,1,1448,124
Drexel Hill,PA,3,1399,60
Driftwood,TX,2,4040,180
Driggs,ID,2,2086,277
Dripping Springs,TX,6,2144,12
Drumbo,ON,1,3616,219
Drumheller,AB,4,1158,124
Drummondville,QC,34,1076,176
Drummundville,QC,1,4677,274
Drumondville,QC,1,827,236
Drums,PA,1,2627,160
Dry Ridge,KY,1,3236,277
Dryden,NY,5,442,125
Dryden,ON,6,1547,97
DuBois,PA,2,2479,251
DuPont,WA,2,3759,49
Duarte,CA,5,626,191
Dublin,CA,80,1996,218
Dublin,GA,7,4854,282
Dublin,OH,43,2173,128
Dublin,ON,1,505,33
Dubois,WY,2,1673,267
Dubuque,IA,17,4700,101
Duck,NC,5,3840,170
Ducktown,TN,2,4374,158
Dudley,MA,4,4327,126
Dudley,NC,1,1946,62
Dudswell,QC,1,1578,54
Dufferin,NB,1,2495,274
Dufrense,MB,1,871,271
Dufur,OR,2,678,243
Dugald,MB,2,3001,44
Dugway,UT,1,293,206
Duhamel,QC,4,2107,34
Dulles,VA,4,1285,211
Duluth,GA,58,2494,282
Duluth,MN,18,3098,45
Dumas,TX,3,1892,232
Dumfries,VA,1,1210,286
Dummerston,VT,1,4105,27
Dumont,NJ,2,2361,197
Duncan,BC,35,3836,266
Duncan,OK,2,3893,151
Duncan,SC,3,2036,145
Duncansville,PA,2,4975,88
Duncanville,TX,4,4457,71
Dundalk,ON,2,829,138
Dundas,ON,5,4478,266
Dundee,MI,4,3551,221
Dundee,NY,1,4557,63
Dundee,OR,5,4636,184
Dundurn,SK,1,2240,109
Dunedin,FL,5,1744,48
Dunham,QC,6,2900,272
Dunkirk,MD,1,241,159
Dunkirk,NY,3,1555,130
Dunmore,PA,1,4896,187
Dunn,NC,3,2196,129
Dunnellon,FL,2,1425,81
Dunnigan,CA,5,1313,228
Dunnottar,MB,1,1259,132
Dunseith,ND,1,4750,253
Dunsmuir,CA,3,4599,84
Duntroon,ON,1,4797,15
Dunwoody,GA,19,440,30
Dupuy,QC,1,3928,199
Duquesne,PA,4,2068,234
Durand,MI,3,803,112
Durango,CO,45,4513,108
Durant,OK,5,2529,92
Durham,NC,129,1900,190
Durham,NH,5,4748,161
Durham,NY,1,955,65
Durham,ON,3,1912,199
Durhm,NC,1,2966,31
Dutton,ON,4,3742,77
Duxbury,MA,2,282,194
Dwight,IL,2,3212,19
Dwight,ON,2,4592,75
Dyersburg,TN,2,1617,273
Dyersville,IA,2,1456,234
Dégelis,QC,2,2274,132
E. Palo Alto,CA,1,3729,47
EDINBURG,TX,1,3728,132
EDISON,NJ,1,4196,165
EDMONTON,AB,1,3339,76
EDMUNDSTON,NB,2,3791,142
EL PASO,TX,2,118,149
ELYRIA,OH,1,3503,91
Eagan,MN,17,4779,67
Eagle,CO,17,4651,158
Eagle,ID,4,3104,140
Eagle,WI,1,1232,78
Eagle Bay,NY,1,3439,259
Eagle Mountain,UT,1,3411,186
Eagle Nest,NM,2,3472,81
Eagle Pass,TX,3,1087,26
Eagles Mere,PA,1,3421,169
Eagleville,MO,2,4715,79
Eagleville,PA,3,273,122
Earltown,NS,1,3841,241
Earlville,NY,1,3152,30
Early,IA,1,826,144
Early,TX,2,3860,272
Easley,SC,2,1975,120
East Alton,IL,1,4133,255
East Amherst,NY,1,1089,292
East Angus,QC,7,3844,17
East Aurora,NY,3,2786,293
East Bernard,TX,1,519,216
East Boothbay,ME,3,693,203
East Boston,MA,1,1874,56
East Brookfield,MA,2,2559,251
East Brunswick,NJ,21,1035,19
East Cambridge,MA,1,3908,298
East Camden,AR,1,431,140
East Charleston,WV,1,3549,279
East Dubuque,IL,1,2802,70
East Dundee,IL,1,4106,173
East Earl,PA,3,3968,22
East Ellijay,GA,3,4300,281
East Elmhurst,NY,4,301,217
East Fishkill,NY,1,2597,255
East Freetown,MA,1,1942,142
East Garafraxa,ON,1,1966,253
East Granby,CT,2,2096,47
East Grand Forks,MN,1,1009,65
East Grand Rapids,MI,2,4405,57
East Greenbush,NY,18,4758,114
East Greenwich,RI,12,3289,68
East Griffin,GA,1,870,86
East Gwillimbury,ON,14,3255,227
East Haddam,CT,3,2601,64
East Hampton,CT,3,2814,64
East Hampton,NY,6,4824,138
East Hanover,NJ,2,3685,94
East Hartford,CT,59,1728,223
East Haven,CT,6,486,124
East Hereford,QC,1,3521,58
East Highland Park,VA,4,4108,76
East Ithaca,NY,3,4193,284
East Jordan,MI,1,4463,138
East Kemptville,NS,1,2566,38
East Lansing,MI,22,2382,42
East Latrobe,PA,1,1956,128
East Liberty,OH,2,2098,189
East Liverpool,OH,1,1336,160
East Longmeadow,MA,13,4769,142
East Lyme,CT,33,4244,194
East Meadow,NY,1,1250,143
East Norriton,PA,1,4418,186
East Orange,NJ,3,1531,31
East Palo Alto,CA,5,1919,250
East Patchogue,NY,1,2424,86
East Peoria,IL,9,1230,213
East Petersburg,PA,7,2758,13
East Pine,BC,2,3600,174
East Point,GA,6,474,137
East Providence,RI,18,2220,54
East Rochester,NY,13,4120,227
East Rutherford,NJ,6,2121,244
East Saint Louis,IL,1,3805,145
East Selkirk,MB,1,3359,177
East St. Paul,MB,1,3535,246
East Stroudsburg,PA,5,1989,102
East Syracuse,NY,20,1923,14
East Troy,WI,1,1574,165
East Walpole,MA,1,2342,254
East Wareham,MA,1,3343,90
East Wenatchee,WA,8,3234,256
East Windsor,CT,4,2170,146
East Windsor,NJ,4,459,72
East York,ON,2,2141,125
Eastampton Township,NJ,2,1241,122
Eastchester,NY,3,1735,40
Eastham,MA,5,4100,16
Easthampton,MA,19,2043,12
Eastland,TX,1,4874,252
Eastman,QC,3,3461,65
Easton,CT,1,3080,82
Easton,MA,4,106,19
Easton,MD,6,3367,70
Easton,PA,23,1691,59
Eastpointe,MI,2,3364,131
Eastport,ME,1,2706,184
Eastport,MI,2,3319,10
Eastsound,WA,5,3373,47
Eastvale,CA,4,1013,199
Eaton,OH,1,2111,88
Eatonton,GA,1,1542,199
Eatontown,NJ,9,3154,193
Eau Claire,WI,24,3646,76
Ebensburg,PA,1,4321,26
Eddystone,PA,1,3028,218
Eden,NC,1,1929,50
Eden Prairie,MN,20,675,124
Edenton,NC,1,1029,109
Edgartown,MA,5,3859,148
Edgecliff Village,TX,1,3799,26
Edgefield,SC,2,1563,83
Edgerton,KS,1,3375,272
Edgewater,CO,4,1154,25
Edgewater,FL,3,2000,23
Edgewater,MD,5,1557,290
Edgewater,NJ,8,1499,13
Edgewater Park,NJ,4,3515,136
Edgewood,IL,1,542,15
Edgewood,MD,1,3750,138
Edina,MN,26,4752,241
Edinboro,PA,1,1278,204
Edinburg,TX,3,4558,74
Edinburgh,IN,3,1357,112
Edison,NJ,28,3734,286
Edisto Beach,SC,3,1941,167
Edisto Island,SC,1,2409,233
Edmond,OK,29,1010,298
Edmonds,WA,18,4440,287
Edmonston,MD,1,4737,191
Edmonton,AB,160,4109,13
Edmonton International Airport,AB,1,2269,224
Edmundston,NB,20,2272,226
Edmunston,NB,3,223,218
Edon,OH,1,3258,83
Edson,AB,4,885,236
Edwards,CO,24,2516,102
Edwards Air Force Base,CA,2,896,74
Edwardsville,IL,12,4272,19
Edwardsville,KS,1,4254,287
Edwardsville,PA,1,2036,95
Eel River Bar,NB,1,2256,35
Eel River Crossing,NB,1,3907,227
Effingham,IL,5,1401,104
Egg Harbor,WI,3,4263,253
Egg Harbor City,NJ,4,3240,116
Egg Harbor Township,NJ,15,3336,257
Egmont,BC,1,2452,23
Ehrenberg,AZ,1,2032,170
Ehrhardt,SC,1,2821,80
El Cajon,CA,83,464,161
El Campo,TX,2,2490,84
El Centro,CA,10,1046,224
El Cerrito,CA,5,1477,60
El Dorado,AR,4,1539,152
El Dorado,KS,3,3280,45
El Dorado Hills,CA,9,4957,176
El Granada,CA,2,440,245
El Jebel,CO,3,3089,269
El Mirage,AZ,1,482,201
El Monte,CA,25,1656,211
El Paso,IL,1,399,271
El Paso,TX,52,238,194
El Portal,CA,2,458,167
El Prado,NM,1,1622,255
El Reno,OK,5,3556,119
El Rito,NM,2,1727,108
El Segundo,CA,59,1403,250
Elbe,WA,2,1234,211
Elberton,GA,2,2286,131
Elburn,IL,1,3270,126
Eldred,NY,4,3935,105
Eldridge,IA,1,2251,243
Elephant Butte,NM,2,1337,76
Elgin,AZ,2,3835,227
Elgin,IL,18,2934,24
Elgin,ON,1,4360,282
Elgin,SC,4,1098,228
Elgin,TX,2,2667,283
Elizabeth,CO,1,1407,156
Elizabeth,IL,2,756,161
Elizabeth,IN,1,2760,24
Elizabeth,NJ,16,2311,93
Elizabeth City,NC,6,2009,201
Elizabethton,TN,2,3830,50
Elizabethtown,KY,13,2146,270
Elizabethtown,NC,2,3262,145
Elizabethtown,NY,3,1240,287
Elizabethtown,PA,6,366,115
Elk,CA,2,1945,16
Elk City,OK,3,1808,39
Elk Grove,CA,79,3730,135
Elk Grove Village,IL,11,3311,88
Elk Horn,IA,1,2393,76
Elk Horn,NE,1,3832,32
Elk Point,AB,1,3929,198
Elk Rapids,MI,2,1610,83
Elk River,MN,5,575,14
Elkader,IA,1,1076,91
Elkford,BC,1,1307,34
Elkhart,IN,10,2060,273
Elkhart Lake,WI,1,657,11
Elkhorn,NE,2,982,287
Elkin,NC,7,2294,233
Elkins,WV,3,4861,81
Elkins Park,PA,3,2767,77
Elkland,PA,1,4777,103
Elko,NV,5,4890,28
Elkridge,MD,18,1710,137
Elkton,MD,3,3588,91
Elkton,OR,1,2554,263
Elkton,VA,1,4594,230
Ellensburg,WA,13,2046,106
Ellenton,FL,7,4910,61
Ellenville,NY,1,4899,184
Ellenwood,GA,4,2908,191
Ellerbe,NC,1,3925,124
Ellershouse,NS,1,3636,10
Ellerslie,PE,1,3902,72
Ellicott City,MD,17,4277,257
Ellicottville,NY,3,4799,240
Ellington,CT,11,2070,235
Elliot Lake,ON,1,3922,28
Ellison Bay,WI,1,2919,40
Ellisville,MO,1,1002,130
Ellsworth,ME,6,464,33
Ellsworth,WI,1,4358,220
Elma,NY,3,3219,170
Elmer,NJ,1,2658,264
Elmhurst,IL,11,1963,68
Elmhurst,NY,1,215,123
Elmira,NY,12,2484,169
Elmira,ON,2,4035,229
Elmira,OR,1,2590,178
Elmont,NY,14,1042,21
Elmore,OH,1,1824,251
Elmsdale,NS,2,2434,148
Elmsford,NY,2,2867,106
Elmwood,ON,1,1237,156
Elmwood Park,IL,2,2627,191
Elon,NC,2,4217,66
Elora,ON,7,3520,51
Eloy,AZ,1,4878,208
Elryia,OH,1,4006,40
Elverson,PA,3,3737,189
Elwood,NJ,1,3053,11
Ely,MN,3,2467,297
Ely,NV,2,4321,147
Elyria,OH,7,376,114
Elysburg,PA,1,2099,227
Embrun,ON,3,1327,231
Emerald Isle,NC,1,3852,114
Emeryville,CA,27,3835,136
Emlenton,PA,3,795,274
Emmetsburg,IA,1,1409,209
Emmitsburg,MD,4,4252,261
Empire,CA,1,3334,24
Empire,MI,2,4214,235
Emporia,KS,6,2411,114
Emporia,VA,3,2941,242
Encinal,TX,3,4308,228
Encinitas,CA,23,3659,286
Encino,CA,4,3498,270
Endicott,NY,6,641,199
Enfield,CT,11,2794,207
Enfield,NC,1,4774,286
Enfield,NH,1,1188,48
Enfield,NS,2,3463,171
Englewood,CO,25,124,130
Englewood,FL,4,1672,271
Englewood,NJ,6,3058,225
Englewood,OH,1,4336,58
Englewood Cliffs,NJ,1,1867,101
Englishtown,NJ,1,4843,138
Enid,OK,3,2335,37
Ennis,TX,10,300,157
Ennismore,ON,1,3298,74
Enola,PA,3,356,227
Enon,OH,1,3847,60
Enosburg Falls,VT,2,4742,83
Entcinitas,CA,1,2341,208
Enterprise,AL,10,3275,201
Enterprise,NT,1,3706,198
Enterprise,OR,3,3436,21
Entiat,WA,1,4997,248
Entrelacs,QC,2,513,90
Enumclaw,WA,5,2114,279
Ephraim,WI,4,1481,299
Ephrata,PA,12,1198,57
Epsom,NH,1,3526,218
Erick,OK,1,3755,44
Erie,CO,16,1009,128
Erie,MI,1,287,74
Erie,PA,31,4144,251
Erin,ON,2,3856,45
Erlanger,KY,2,2115,261
Erving,MA,6,2192,252
Erwin,NC,1,3744,51
Erwin,TN,1,2230,78
Escalante,UT,2,457,116
Escalon,CA,2,2522,48
Escanaba,MI,3,4357,78
Escondido,CA,51,4645,189
Espanola,ON,3,1597,21
Esparto,CA,5,2258,213
Española,NM,2,2655,45
Esprit-Saint,QC,1,2442,135
Esquimalt,BC,2,3051,72
Essex,CA,1,1338,91
Essex,CT,2,1073,43
Essex,MA,1,4827,249
Essex,NY,5,4065,106
Essex,ON,7,1150,58
Essex,VT,1,3801,155
Essex Fenner,CA,1,2880,134
Essex Junction,VT,6,1688,198
Essipit,QC,1,3978,66
Estacada,OR,2,2468,118
Estavan,SK,1,536,14
Esterel,QC,1,2928,33
Estero,FL,8,1656,230
Estes Park,CO,17,3958,19
Estevan,SK,4,1404,174
Estherville,IA,1,2484,224
Estill,SC,1,282,135
Etlan,VA,1,1689,276
Etobicoke,ON,46,1687,289
Etowah,TN,1,759,97
Euclid,OH,4,259,123
Eudora,KS,1,4053,30
Eufaula,AL,7,1111,157
Eugene,OR,86,152,254
Euless,TX,13,2407,275
Eunice,LA,1,1328,226
Eure,NC,1,1135,249
Eureka,CA,20,3802,241
Eureka,IL,1,4145,241
Eureka,MO,6,4549,251
Eureka Springs,AR,6,1364,199
Eustis,FL,3,1984,238
Evans,CO,1,1909,75
Evans,GA,2,3267,288
Evans Mills,NY,1,3897,278
Evanston,IL,25,2441,218
Evanston,WY,3,3514,25
Evansville,IN,12,917,229
Evansville,WI,3,2537,266
Evansville,WY,1,988,277
Evart,MI,1,767,238
Eveleth,MN,1,4828,128
Everett,AZ,1,2724,187
Everett,MA,1,4332,29
Everett,WA,35,4623,45
Evergreen,AL,1,918,117
Evergreen,CO,2,2288,198
Evergreen,NC,1,1206,187
Evergreen Park,IL,2,2324,105
Everman,TX,1,297,29
Everson,WA,1,2771,173
Evesham,NJ,4,3592,106
Ewa Beach,HI,7,2548,152
Ewen,MI,1,570,71
Ewing,NJ,3,2048,251
Ewing Township,NJ,13,3999,247
Excelsior,MN,1,2110,140
Excelsior Springs,MO,3,3900,102
Exeter,CA,2,4218,100
Exeter,NH,7,3896,142
Exeter,ON,6,4088,132
Exeter,PA,1,334,127
Exeter,RI,2,1028,207
Exmore,VA,1,3707,291
Exton,PA,15,622,10
FAIRFIELD,CT,1,3623,220
FALLS CHURCH,VA,1,4626,272
FARGO,ND,1,4988,221
FARMINGTON,NM,1,1729,96
FARMVILLE,NC,1,4728,162
FAYETTEVILLE,NC,1,1416,196
FE Warren AFB,WY,1,2957,70
FENTON,MI,1,1224,294
FENTON,MO,1,2687,104
FINDLAY,OH,1,1123,283
FLEETWOOD,PA,1,1478,50
FOND DU LAC,WI,1,3474,156
FORT COLLINS,CO,1,1619,255
FORT ERIE,ON,1,326,141
FORT SMITH,AR,1,991,132
FREDERICKSBURG,TX,1,4172,152
FREDERICKTOWN,OH,1,2357,191
FREDERICTON,NB,1,2888,201
FRESNO,CA,1,496,216
FULLERTON,CA,1,2178,240
Fair Haven,NY,1,4844,31
Fair Haven,VT,1,4524,89
Fair Lawn,NJ,2,3337,139
Fair Oaks,CA,2,3993,285
Fair Oaks,IN,3,2105,64
Fair Play,CA,1,2116,75
Fair Play,MO,1,3271,236
Fair Play,SC,1,2768,35
Fairbanks,AK,1,1978,262
Fairbon,OH,1,1296,206
Fairborn,OH,8,1872,139
Fairburn,GA,7,261,252
Fairbury,IL,1,4076,221
Fairdale,KY,1,1851,199
Fairfax,CA,3,875,299
Fairfax,OK,1,1039,235
Fairfax,VA,67,3320,255
Fairfax,VT,2,639,65
Fairfield,CA,65,1561,64
Fairfield,CT,31,455,285
Fairfield,IA,3,3704,162
Fairfield,ME,5,3423,62
Fairfield,NJ,9,334,120
Fairfield,OH,11,1648,213
Fairfield,PA,3,2196,121
Fairfield,TX,2,4313,267
Fairfield Bay,AR,1,2201,25
Fairhaven,MA,5,1773,175
Fairhope,AL,7,2200,289
Fairlawn,OH,1,3757,167
Fairlee,VT,1,4753,258
Fairless Hills,PA,2,3696,190
Fairmont,MN,4,3848,200
Fairmont,WV,2,3273,148
Fairmount,IN,1,1915,87
Fairplay,CO,2,3941,59
Fairport,NY,7,2105,94
Fairview,OR,1,4593,192
Fairview,TX,1,774,192
Fairview Heights,IL,3,486,13
Fairview Park,OH,1,2258,120
Fajardo,PR,2,2761,260
Falcon Heights,MN,1,2164,142
Falfurrias,TX,1,3951,109
Falher,AB,1,3353,181
Falkland,BC,1,4736,296
Fall City,WA,1,4366,128
Fall Creek,WI,1,839,184
Fall River,MA,44,1501,39
Fallbrook,CA,19,3359,64
Fallon,NV,8,2377,205
Falls Church,VA,25,4004,50
Falls City,OR,1,4023,182
Falls Creek,PA,1,4314,228
Fallston,MD,6,3327,217
Falmouth,MA,10,2931,167
Falmouth,ME,9,3858,237
Falmouth,VA,1,2612,94
Fanny Bay,BC,3,2251,182
Fanwood,NJ,3,3775,254
Far Rockaway,NY,1,2845,182
Fargo,ND,18,3966,221
Faribault,MN,4,3864,93
Farina,IL,1,2322,182
Farmers Branch,TX,16,2892,192
Farmersville,CA,5,1797,142
Farmingdale,NJ,1,3562,297
Farmingdale,NY,12,4163,271
Farmington,CT,10,1624,291
Farmington,ME,6,4860,278
Farmington,MI,6,132,206
Farmington,MN,2,4125,34
Farmington,MO,1,2666,150
Farmington,NM,10,2903,232
Farmington,NY,11,3996,29
Farmington,PA,1,3809,256
Farmington,UT,6,819,210
Farmington Hills,MI,10,4679,124
Farmingville,NY,8,1072,198
Farmville,VA,4,3818,35
Farnham,QC,3,4502,63
Faro,YT,2,4652,179
Farr West,UT,1,2307,20
Fate,TX,1,4526,36
Fauquier,BC,1,4420,92
Fayette,AL,1,3130,299
Fayette,IA,1,3675,47
Fayetteville,AR,27,3216,96
Fayetteville,GA,31,3385,165
Fayetteville,NC,28,743,295
Fayetteville,NY,10,4811,195
Fayetteville,PA,1,294,191
Fayetteville,TN,2,4096,152
Fayetteville,WV,2,588,215
Fayston,VT,2,2304,151
Feasterville,PA,1,2757,194
Feasterville-Trevose,PA,4,3376,250
Federal Way,WA,20,1202,17
Federalsburg,MD,1,1341,81
Feeding Hills,MA,1,615,297
Felton,CA,3,492,104
Fenelon Falls,ON,1,730,166
Fennimore,WI,1,3816,50
Fennville,MI,2,1947,278
Fenton,MI,3,2755,164
Fenton,MO,7,1079,284
Fenwick Island,DE,1,4629,163
Fergus,ON,2,3502,62
Fergus Falls,MN,3,3971,188
Ferland-et-Boilleau,QC,1,377,249
Ferme-Neuve,QC,2,332,146
Fermeuse,NL,3,1652,264
Fermont,QC,1,3370,233
Fern Park,FL,1,2509,189
Fernan Lake Village,ID,2,3612,191
Fernandina,FL,1,125,268
Fernandina Beach,FL,7,560,252
Ferndale,CA,5,3864,105
Ferndale,MI,22,3531,206
Ferndale,WA,2,3583,23
Fernie,BC,10,2094,129
Fernley,NV,3,590,278
Ferris,TX,2,1172,180
Ferron,UT,1,3273,81
Ferryland,NL,1,315,188
Fertile,MN,1,1823,179
Festus,MO,6,1692,168
Fife,WA,3,2706,163
Fife Lake,MI,2,258,91
Fillmore,CA,4,4881,66
Fillmore,UT,2,3413,16
Fincastle,VA,1,2941,121
Findlay,OH,10,1876,57
Firebaugh,CA,6,2152,89
Firestone,CO,1,2395,42
Fish Camp,CA,3,1796,124
Fish Creek,WI,2,3093,12
Fishers,IN,15,2569,13
Fishersville,VA,1,2046,269
Fishkill,NY,12,3909,51
Fitchburg,MA,9,2883,18
Fitchburg,WI,9,3744,154
Five Corners,WA,1,2600,106
Five Islands,NS,1,3745,285
Flagler,CO,2,2745,151
Flagler Beach,FL,1,2449,287
Flagstaff,AZ,47,2032,36
Flanders,NJ,1,3394,52
Flat Rock,MI,5,1857,140
Flat Rock,NC,5,1216,225
Flatonia,TX,2,2667,103
Fleischmanns,NY,1,3599,17
Fleming Island,FL,2,592,95
Flemington,NJ,11,3406,147
Flesherton,ON,2,719,255
Fletcher,NC,6,3332,30
Flinstone,MD,2,3923,274
Flint,MI,11,2480,157
Flint Township,MI,2,1646,193
Flintstone,MD,1,3663,236
Floodwood,MN,1,1705,45
Florence,AL,7,3852,255
Florence,AZ,5,4775,82
Florence,CO,1,1990,159
Florence,KY,8,1375,10
Florence,NJ,2,2843,78
Florence,OR,8,2593,239
Florence,SC,18,456,220
Florence,TX,1,969,81
Florenceville-Bristol,NB,1,985,105
Floresville,TX,2,2101,93
Florham,NJ,1,1383,237
Florham Park,NJ,10,719,245
Florida City,FL,5,982,231
Florissant,MO,6,896,232
Flossmoor,IL,1,3742,290
Flower Mound,TX,2,3525,230
Flower's Cove,NL,2,1396,225
Flowers Cove,NL,1,4814,240
Flowery Branch,GA,6,344,178
Flowood,MS,1,2995,51
Floyd,VA,4,1029,267
Flushing,NY,17,619,205
Fogelsville,PA,1,3312,105
Folcroft,PA,1,2509,23
Foley,AL,10,107,122
Folkston,GA,2,2625,86
Folsom,CA,54,3523,286
Folsom,LA,1,2119,169
Fond du Lac,WI,7,4690,128
Fontana,CA,23,4382,170
Fontana-on-Geneva Lake,WI,1,3767,155
Fonthill,ON,2,3771,172
Foothill Ranch,CA,2,2901,188
Forest,ON,1,185,98
Forest,VA,3,3215,232
Forest City,IA,8,4332,275
Forest City,NC,4,2568,248
Forest Grove,OR,9,3719,43
Forest Hill,TX,1,1736,176
Forest Hills,NY,11,3683,134
Forest Lake,MN,2,4109,233
Forest Park,GA,2,3426,159
Forest Park,IL,1,2318,198
Forestburgh,NY,3,2317,52
Forestville,CA,5,2469,38
Forestville,MD,1,3738,129
Forestville,QC,4,2603,40
Forked River,NJ,1,1043,190
Forks,WA,7,2937,171
Forney,TX,3,2760,137
Forrest City,AR,7,3036,264
Forsyth,GA,4,4544,263
Fort Atkinson,WI,1,4047,139
Fort Belvoir,VA,2,1776,21
Fort Bragg,CA,10,1296,44
Fort Chipewyan,AB,1,4205,207
Fort Chiswell,VA,1,2887,257
Fort Collins,CO,86,1561,119
Fort Davis,TX,1,3418,254
Fort Dodge,IA,4,766,259
Fort Edward,NY,4,2276,172
Fort Erie,ON,6,3843,57
Fort Frances,ON,6,700,80
Fort Garland,CO,2,2752,143
Fort Gibson,OK,1,4522,248
Fort Hood,TX,2,3924,77
Fort Irwin,CA,2,4006,287
Fort Kent,ME,2,1079,41
Fort Klamath,OR,2,2551,132
Fort Lauderdale,FL,100,728,31
Fort Lawn,SC,2,1729,164
Fort Leavenworth,KS,1,3796,119
Fort Lee,NJ,12,3530,280
Fort Lee,VA,2,3774,124
Fort Lewis,WA,1,4029,229
Fort Littleton,PA,1,2865,239
Fort Loudon,PA,1,4469,261
Fort Lupton,CO,2,4880,258
Fort MacLeod,AB,2,215,18
Fort Macleod,AB,1,2103,43
Fort Madison,IA,3,792,237
Fort McLeod,AB,1,3262,82
Fort McMurray,AB,4,1205,221
Fort Meade,MD,2,3108,81
Fort Meyers,FL,3,2261,67
Fort Mill,SC,5,253,229
Fort Mitchell,KY,2,3799,284
Fort Montgomery,NY,2,4510,258
Fort Morgan,CO,1,3886,25
Fort Myers,FL,74,1164,84
Fort Myers Beach,FL,4,4300,115
Fort Nelson,BC,3,2013,145
Fort Payne,AL,4,1316,83
Fort Pierce,FL,16,2501,263
Fort Qu'Appelle,SK,4,1872,27
Fort Saskatchewan,AB,1,2060,52
Fort Scott,KS,3,2880,59
Fort Smith,AR,7,4904,12
Fort Smith,MT,1,4846,241
Fort Smith,NT,1,2971,228
Fort St James,BC,1,760,68
Fort St John,BC,3,2735,293
Fort St. John,BC,4,2429,73
Fort Stewart,GA,1,4054,79
Fort Stockton,TX,6,2550,151
Fort Sumner,NM,1,1232,211
Fort Thomas,KY,2,799,216
Fort Valley,GA,6,2138,230
Fort Walton Beach,FL,14,4747,255
Fort Washington,MD,3,4600,90
Fort Washington,PA,5,4657,260
Fort Wayne,IN,76,2279,60
Fort Worth,TX,141,2938,294
Fort Yates,ND,1,973,213
Fort-Coulonge,QC,2,183,34
Forth Worth,TX,1,1522,50
Fortierville,QC,1,2775,78
Fortuna,CA,9,3280,13
Fossambault-sur-le-Lac,QC,1,4416,249
Fossil,OR,1,4075,40
Fosston,MN,1,1491,126
Foster,OR,1,3318,204
Foster,QC,1,4307,99
Foster City,CA,19,714,187
Fostoria,OH,3,3071,154
Fountain,CO,3,3665,211
Fountain Hills,AZ,5,3676,212
Fountain Inn,SC,2,4670,33
Fountain Valley,CA,17,370,114
Four Corners,FL,1,4166,284
Fowler,CA,5,2568,69
Fowlerville,MI,1,1490,24
Fox Lake,IL,1,3454,94
Foxborough,MA,7,4235,206
Framingham,MA,51,3707,244
Frampton,QC,4,2683,272
Franconia,VA,2,4173,15
Frankenmuth,MI,3,3175,298
Frankfort,IL,6,4006,67
Frankfort,KY,13,389,154
Frankfort,MI,2,2580,51
Frankfort,NY,4,3352,209
Franklin,IN,6,378,183
Franklin,KY,3,3024,104
Franklin,MA,13,680,226
Franklin,NC,6,353,120
Franklin,OH,3,4376,189
Franklin,PA,2,4876,172
Franklin,QC,1,924,128
Franklin,TN,52,3932,237
Franklin,VA,3,799,154
Franklin,WI,2,1480,151
Franklin Lakes,NJ,2,3996,131
Franklin Park,IL,3,1773,294
Franklin Park,NJ,4,2827,235
Franklin Park,PA,1,3256,266
Franklin Square,NY,1,3488,294
Franklin Township,NJ,10,4407,174
Frankston,TX,1,483,230
Franksville,WI,2,441,78
Franktown,CO,1,2087,233
Franquelin,QC,1,4159,133
Fraser,CO,3,3209,21
Fraser Lake,BC,2,4182,61
Fraser Valley A,BC,1,4615,138
Fraser Valley B,BC,1,2898,144
Fraser-Fort George F,BC,1,3340,154
Fraser-Fort George G,BC,1,2088,136
Fraser-Fort George H,BC,1,3514,235
Fraser-Fort-George,BC,1,1949,80
Frederic,WI,1,405,282
Frederick,CO,3,3713,196
Frederick,MD,43,2849,12
Fredericksburg,TX,14,1235,294
Fredericksburg,VA,28,305,31
Fredericktown,OH,1,4691,175
Fredericton,NB,22,3550,255
Fredonia,NY,8,3911,243
Fredrick,OK,1,3722,167
Freehold,NJ,12,3699,160
Freehold Township,NJ,5,2651,222
Freeland,MI,1,4408,227
Freeland,PA,1,409,255
Freeland,WA,1,2808,285
Freeport,FL,1,2091,160
Freeport,IL,1,371,205
Freeport,ME,6,3742,30
Freeport,NY,4,4186,266
Freetown,MA,1,1922,26
Fremont,CA,174,3373,60
Fremont,MI,1,4638,279
Fremont,NE,3,4449,92
Fremont,OH,2,620,133
French Camp,CA,2,1076,299
French Lick,IN,1,3822,271
Fresno,CA,229,3651,58
Friday Harbor,WA,9,4205,15
Fridley,MN,2,2873,126
Friendship,NY,1,2652,127
Friendsville,MD,3,2932,272
Friendsville,TN,1,4007,138
Friendswood,TX,7,252,180
Frisco,CO,20,3064,36
Frisco,TX,75,3016,208
Front Royal,VA,7,2900,106
Frontenac,KS,1,1852,26
Frostburg,MD,4,2710,182
Fruiland,ID,1,3975,110
Fruita,CO,7,1204,195
Fruitvale,BC,1,2636,193
Fryeburg,ME,2,4299,224
Frystown,PA,1,3954,260
Ft. Lauderdale,FL,27,3594,225
Ft. Myers,FL,1,2014,38
Ft. Saint John,BC,1,3172,111
Fullerton,CA,126,1106,132
Fulshear,TX,2,506,63
Fulton,CA,3,266,292
Fulton,IL,1,608,111
Fulton,MD,7,1761,126
Fulton,MO,2,3764,113
Fulton,NY,6,3589,54
